Name,S02,S03,S04,S05,S06,S07,S10,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S34,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S49,S50,C01,C02,C03,C04,C05,C06,C07,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C36,C38,C39,C40,C41,C42,C45,C46,C48,C49,C50
Glycine,462482048,497590624,455149728,451810112,491746880,497851840,474112096,390918688,384723776,190132480,443689888,412252224,325106592,436078400,370457696,429418624,395309856,88157448,448704384,179218320,462356672,426846304,122676816,451549728,451134560,182765664,396144416,229332912,299182496,391161312,456204992,410949152,406352032,292266592,400918560,465513984,350980544,399278336,157326016,294677088,205945744,469777696,444532288,459780672,419420672,394659360,409594048,458921888,464874304,437935744,347131744,464265152,465136928,496404000,481672768,440327520,318131808,382184448,469194560,443921216,425952672,227288048,276859456,394173888,327215040,479660960,312408512,371299616,439948288,304259200,248344704,503669216,482908736,499170848,318710048,479012512,486420448,490981696,345664800,395727776,372602080,498880288,473773184
Proline,356887264,361809152,344041152,361039840,379622304,347706976,331595872,284348384,219490256,137418544,278197088,271241536,244379744,289447200,222641104,277534208,204156528,84529840,319632288,140310208,289752544,296076448,96105232,314854304,284768096,133322584,247134160,198704080,203967424,269281984,341472160,286269024,243623904,202237920,250624736,347134944,240036144,276307424,99545576,168361616,110909104,338022560,394439648,379474016,397642304,350950400,407096576,389452928,369884320,359384480,257884688,358712256,387905888,421374240,433821664,356272384,227889664,266378688,336506592,353495040,359798336,150350112,271758656,283403552,222526416,302729824,209109808,268230592,385143968,231584384,178489776,408276288,362280416,376870912,178433552,366484768,333584384,371975392,214793136,245820960,291558048,369147424,305075904
Alanine,160320640,159483312,210610224,175341568,244125424,193178816,172610336,140069248,104838000,37677784,141950608,176525328,70894888,171632928,115567744,166099696,111837608,13678178,147826560,31167334,155394848,142669056,18850636,189606688,142369696,41797872,117273536,46115444,69606568,108353352,121704200,104193672,125164320,66254348,108364208,173112256,87973328,134472240,41065508,85257744,56651928,221097920,254248608,201870080,218231504,173315648,242167424,232015552,259099520,268842144,113266696,153526528,207424032,291656224,270290912,232667888,138060336,142736096,211957664,187901648,187313008,86344808,67457720,191115520,69367224,160463264,92328416,96699728,236493552,63156412,51004892,214126848,185575520,226101984,99862728,221749648,191420496,175700272,89447736,90298208,110159952,158464080,160878976
d4-Alanine,180991616,134220208,169485696,176508800,171754112,170913760,185487920,170655952,149021472,95959640,139896384,161814672,85702032,156676064,162324032,159369984,180019952,38067276,147241584,77615720,145248416,166497520,76889304,176741920,136849248,92106720,142183904,66967092,87541880,100368544,128120856,114210064,142041184,112026120,137850816,159898896,102638720,124830584,121392240,171385536,164031296,126364856,112471552,125443520,131580784,108109720,127484360,104917800,113760720,117133872,159850144,109795328,106113736,122456024,130622840,118646960,163725376,146393824,101952976,97746952,141737872,161410352,52727188,159361824,109260288,97884264,127971760,90039464,157237680,85465512,80936112,161113136,157783264,156131920,190722688,143255600,158357408,141494416,161616464,151090448,83022080,138972656,164418016
Valine,46624860,61791716,73392792,71599408,92304928,73173600,53895864,52375032,37942508,17379536,57492348,53863092,42192492,64935372,40836612,56789896,32771344,9515048,60661320,19568596,62361788,55627456,12062720,68586656,60379864,17419720,42637628,23780322,28581642,46037104,63908608,49720940,48893792,31922230,53043992,70641784,36644420,50057712,18919658,32056394,18389038,88314400,106518312,95691168,97904736,93039928,104863760,117352440,115719920,117294976,47402072,64169112,80926144,119965800,122491296,101976504,50048748,61835716,88006336,67762952,66935432,28769238,35058988,59290160,31182662,56143788,35802244,37328160,89760768,30922536,23331602,97818840,79918520,99906344,33340448,82278472,62577160,83822928,36041744,42902092,58257228,97964696,78958088
Aspartic acid,74776264,68264512,88596256,85347408,87942112,95408096,78317296,57839968,46527940,16753518,60531080,58034232,35596444,72419984,52168184,63370444,42634388,8011843,62941688,14976794,70400392,65252192,10591141,80592592,72635256,13603830,51226768,16906238,26196452,42329944,60870964,49293632,55800408,31090734,42616608,74477632,34757572,54156144,16318328,33307894,18770970,94756512,101062416,91365656,96086976,84311184,107544432,100409056,102466536,89060992,57520048,74112560,92352792,112474504,105520840,88100776,61230400,71737096,90406840,74101424,82781072,39157052,33483118,75898768,44201976,92535408,50441148,47260124,87008752,36287352,25754408,107370944,93424648,107195000,49798808,100762640,79716152,78346784,39492604,53756764,45688792,96938952,84842288
Phenylalanine,31586006,36610500,44943552,45237532,43956304,49252124,32872808,27901708,23912388,9323180,32913348,31285626,21301298,37165372,26307390,28037434,21189752,5103149,29461234,12125397,33962440,31359324,5919911,37526640,36644012,8973607,30252564,13273075,18017980,25857608,36234940,29952132,28112798,17967604,22803432,37164888,24781506,27065554,8697942,12704482,7207519,44316984,51934328,42551084,48882044,41948912,48200560,51671260,52416792,59338852,27189306,42739596,50664864,55313656,55959688,46731448,23906502,30355736,48956172,39622728,38975408,15139959,25370858,34462552,21876518,40592132,25200778,27859628,42808868,20230826,15305726,51176600,44384620,47676148,18706896,45697600,35924288,42652340,19796066,23369092,30807052,47156104,37063804
Glutamic acid,39885624,36496812,37780208,39028220,44786188,35159624,30090080,31681728,22552244,12485274,33261648,29085216,27178128,36777928,25549368,29443084,29611823,6817176,33724836,10884261,33820620,36872788,11299296,34544472,34711508,10736816,30937684,14980176,18840188,29859990,31981934,32617690,29062600,20764472,23314294,35793588,21450628,29961994,9700813,19127116,10651696,29494666,42301940,42602372,58457272,38161556,60774300,43528000,58533240,43075136,28575444,43710240,43758912,52337984,51701684,37631120,27901556,31996428,51399308,39658004,41373692,19412100,31693914,37695124,33314946,67676024,27175736,31989548,40719404,26623704,20110030,49409672,40036664,64563800,22125690,55986976,35194908,46393372,20943610,30186498,31292534,42064976,30439130
Glutathione,2650651,2911907,2467408,2577679,2985733,2121316,1664349,911952,1458073,892597,1817738,1376392,1904933,2006833,1133586,1457767,1307804,895191,2038108,1178707,2091805,2054251,756573,2112438,2140587,968590,1464983,1642254,1251075,1935899,2300926,2202368,2029993,1225815,1422292,2242156,1229091,1653146,530343,817535,441281,7680265,8413405,5634691,6999211,2956903,5364690,4774617,5670089,4160712,4479342,5467360,4800699,6100187,5643469,2686429,1298172,2019812,4186154,3163774,3483935,1091617,2510770,2938043,1567795,3311478,1262493,1834607,9081695,3174175,2182325,5807843,3848144,5431405,1136928,3668475,3595004,4461685,1274085,1538803,1802801,3401667,1872937
Pyroglutamic acid,4346934,17996716,17800250,29718076,54372004,36965324,13715109,4471509,4190685,1632422,7383351,6012730,3435326,12241414,4583584,6906210,4037959,1364189,6735999,2458164,8775551,7027354,1511145,10112962,10762601,2160577,5391035,3163842,3757498,8767551,13372000,10609859,10631410,4090489,6122389,17092524,7262259,10584415,1925319,2630962,1572394,13226070,23164574,16207818,11932893,18273104,10037155,23907506,20204628,32181634,2671712,12594464,19673413,30043676,31287276,19217758,3632553,4504978,28593660,17211501,8021013,1813879,4253591,11507281,4119421,3569969,4453020,6565136,17844230,3237636,2297180,24661390,20527140,9616149,3051215,6994091,19050120,26957984,2858575,3577973,7354942,24740932,8001575
