Name,S02,S03,S04,S05,S06,S07,S10,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S34,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S49,S50,C01,C02,C03,C04,C05,C06,C07,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C36,C38,C39,C40,C41,C42,C45,C46,C48,C49,C50
Aspartic acid,114.763241,101.7201702,108.9033102,87.91465664,102.4046656,107.3506941,105.5557904,102.7052548,91.83031178,83.13772034,86.53701871,79.69917586,92.30027228,94.33214107,103.6719347,99.40774669,94.73258386,100.2216007,101.779102,62.24543006,98.91623836,79.98181521,76.52517211,108.5691068,98.2904439,67.13472254,83.78727497,57.37634267,66.4988435,84.34902473,93.15800339,78.47363211,78.56933662,79.2946043,81.35531706,86.25546779,70.5499916,94.31242253,79.07438293,77.73793466,76.29019769,141.4838566,160.4571083,169.3816227,192.1712696,222.8190926,196.1835399,180.5709318,183.8203728,143.4594492,179.9186618,156.9782557,170.6507684,183.6977885,171.8783832,176.7965672,178.0868308,181.4919106,170.5289188,151.6188945,243.3514265,161.7287925,162.8270954,91.58979583,118.9872498,181.7990966,98.53960749,119.2914395,102.4737318,124.877864,109.7264265,121.1694484,120.8382576,134.6209504,130.5529209,130.25493,104.8737276,108.5704648,122.180015,118.5973142,103.8341462,131.611274,125.8575032
Phenylalanine,48.47677892,54.55288819,55.24501607,46.59827622,51.18515474,55.41720168,44.305861,49.54449541,47.19491225,46.26538328,47.05389383,42.96496262,55.23348359,48.41052042,52.27971936,43.98167286,47.08311888,63.8362186,47.63993522,50.39466731,47.71900717,38.43818239,42.77369248,50.55345266,49.58688665,44.28463279,49.48155032,45.04612436,45.73805767,51.52532252,55.45459512,47.68268217,39.58400966,45.82503744,43.53186533,43.04211498,50.3008392,47.13441128,42.14796984,29.65123498,29.29326771,66.17104913,82.45629208,78.88491116,97.76272339,110.8633287,87.92790393,92.92316785,94.0333754,95.58302496,85.04623555,90.52699337,93.61923756,90.34044091,91.15034243,93.77851095,69.53136312,76.79876704,92.34304707,81.07204816,114.5759641,62.53196201,123.3774918,41.58721129,58.88937434,79.74907214,49.23113115,70.32176065,50.41773796,69.62156783,65.20990966,57.75343088,57.40840622,59.87413921,49.04213598,59.0728636,47.26161385,59.10624714,61.2439646,51.55651755,70.01331839,64.02250895,54.98151854
Leucine,92.74353472,111.1656868,95.42636172,81.76610921,90.2420409,95.61770532,92.96743421,102.7974623,88.04405125,97.61319099,93.41087758,97.84734477,106.8542433,84.36443327,100.847588,93.1175346,92.9027067,148.128427,102.539168,103.7972969,100.923485,73.27577673,93.49212531,88.02918214,86.40901621,86.55455719,84.99859842,95.77220949,86.9032691,96.86452361,101.4979169,78.74294128,76.00210936,87.83629083,105.875417,87.15579597,93.89812474,98.59024821,91.90294788,86.22668368,84.08872577,142.2352478,159.5647049,155.3977514,183.4532793,222.4864147,182.7357325,184.0475654,189.321888,171.8505988,160.0887391,166.6509339,170.3117463,166.7507088,166.0020267,188.4808832,164.1875862,149.2427258,160.5109218,152.4158585,224.190469,142.62388,225.5385463,77.36552243,96.33212109,120.4192142,88.06982103,108.5200717,106.0277475,125.8280099,124.6719993,104.3447089,113.6720854,118.0966434,105.6602348,111.5027344,94.96585513,117.3027875,121.9314512,120.0517013,141.6826454,130.0194636,124.6163598
Alanine,246.0528951,237.6442629,258.883971,180.6158395,284.2731637,217.359751,232.6436352,248.7181148,206.9145169,186.9723761,202.9367793,242.42456,183.8278415,223.5640038,229.6635745,260.5567432,248.5004729,171.1028153,239.0411665,129.5353404,218.3379011,174.8742797,136.203282,255.4258182,192.655487,206.2719498,191.8143656,156.5064633,176.6940146,215.910977,186.2582672,165.8724576,176.2366611,168.9767861,206.8678131,200.4880958,178.5659122,234.1821589,198.9927954,198.9846891,230.2484521,330.128091,403.6712959,374.244363,436.4569158,458.0416689,441.7640374,417.2458748,464.8129254,433.0509353,354.2902533,325.1854553,383.2809998,476.3444288,440.2653064,466.9071689,401.5444566,361.1164686,399.8028388,384.465488,550.6438439,356.6264779,328.0442583,230.6260288,186.7295527,315.2531238,180.3687314,244.0842041,278.5280362,217.3439889,217.3058893,241.6448165,240.0289748,283.9504078,261.8008614,286.6537129,251.8307827,243.4798114,276.7284155,199.2144643,250.3538409,215.1422005,238.6525248
Valine,71.55773448,92.07513074,90.21507632,73.75311702,107.4849701,82.33302078,72.64066576,93.00127908,74.88559217,86.2442744,82.19275775,73.97089431,109.4035826,84.58290562,81.15311382,89.08499357,72.81713751,119.0254653,98.09166022,81.32953379,87.62157868,68.18445128,87.15791095,92.39548937,81.70637734,85.96608961,69.73874794,80.70558949,72.55357093,91.73612003,97.80686766,79.15389058,68.84452892,81.415273,101.2612451,81.81302172,74.37986529,87.17504121,91.67975307,74.81703474,74.73792481,131.8649415,169.1194511,177.4006342,195.8067389,245.8875721,191.2934334,211.041118,207.5963496,188.9387516,148.270345,135.9169791,149.53645,195.9328681,199.5208332,204.6417371,145.5653224,156.4418253,166.0009943,138.6497494,196.7700159,118.8244234,170.4904897,71.54758624,83.94057296,110.3025335,69.9416887,94.22171513,105.7148925,106.4155976,99.40408306,110.38978,103.3690242,125.4674843,87.40556341,106.3606175,82.32585073,116.1591298,111.5039369,94.64991019,132.3976683,133.0038976,117.1287108
Citraconic acid,20.02422096,13.32469251,18.45518082,12.11412071,21.84137053,16.7974784,12.8639334,11.28753571,8.087257385,6.540463013,9.15465978,11.73642373,8.166755668,12.53542612,11.24967883,8.380451993,9.918880547,5.412385218,9.339183627,4.185504789,8.725410409,12.95836057,7.304888308,13.717091,9.387342346,6.035508691,7.285206276,4.349120528,4.807035089,6.415400427,8.787271489,6.286648657,9.104160945,9.256208667,9.481495141,12.94908183,5.992881309,8.353614061,9.100668941,9.091268939,10.47175372,26.72284972,27.92233694,22.86672566,20.55595507,22.60317177,18.58509236,23.84486479,15.40460879,23.44446162,19.73164316,17.57082855,14.88105104,31.10861414,31.79573294,26.42764519,16.04032701,19.97452206,22.65508245,13.98162881,29.55761417,15.50059606,9.453241097,14.85474,13.45562615,12.05551479,10.01817706,10.87462049,19.3890725,11.29066713,7.760953223,18.60474335,19.44809869,15.33099225,15.79502697,9.906380235,23.62576558,23.98723913,13.93708874,15.93665934,7.912818846,17.46248774,17.06137284
Glutathione,4.068099731,4.338999385,3.032959981,2.655215542,3.476752859,2.386849278,2.243204032,1.619334618,2.877739659,4.429426689,2.5986919,1.890217278,4.939421325,2.614041639,2.25273423,2.286765305,2.905909007,11.19810697,3.295698106,4.898853796,2.939095595,2.51796482,5.466538406,2.845739305,2.896654573,4.77997894,2.396148308,5.573476977,3.175813298,3.857581116,3.521377978,3.506088093,2.858316078,3.126349972,2.715162516,2.596728836,2.494776094,2.878938428,2.569904556,1.908060666,1.793482954,11.46763942,13.35798896,10.44608168,13.99822661,7.814555699,9.786316734,8.586447029,10.17188552,6.702075041,14.01106651,11.58044785,8.870798116,9.963065598,9.192405288,5.39100161,3.775695362,5.110041517,7.896087461,6.473396736,10.24171989,4.508661667,12.20977647,3.545443037,4.220345607,6.505874042,2.466350779,4.630815398,10.69588009,10.92348083,9.297776277,6.554223205,4.977305516,6.821035523,2.980578797,4.742203601,4.729549291,6.18286022,3.941693094,3.394882603,4.097116479,4.618347096,2.778368901
Myristic acid (C14_0),1.639040009,4.804926245,2.407816272,2.056316739,1.858226253,2.516593074,1.860553776,4.42102152,2.714368018,4.315221929,1.664410425,1.405202888,3.022969942,1.461326588,4.708224994,2.231525919,1.595263174,8.038162552,1.781699374,3.016586281,1.373719712,0.962469444,4.605350859,1.670842193,1.489143354,3.711796095,1.766161713,3.515665032,2.487479897,2.196411258,2.607695628,2.661534276,2.166903931,2.582150357,2.73861846,1.449602346,2.83245527,2.266114807,3.975993077,2.757763642,4.012791153,0.436640689,0.382676133,0.587465346,0.437897888,0.886168502,0.577657727,0.390305553,0.921149341,1.01075125,0.80956136,0.660156441,0.617397108,0.717168475,0.489046466,0.449771723,0.442616904,0.609841553,0.788053731,0.764619238,0.612033553,0.769203039,1.847273525,0.311512933,0.925544825,0.581072813,0.533824806,0.883087523,0.863578228,2.528374528,2.911508856,0.676542093,0.912890074,0.668729367,1.545607935,0.643562199,1.265423381,1.691213418,3.990744408,2.028339122,2.438901091,1.809933896,1.605233263
Glutamic acid,61.21465869,54.383483,46.43976956,40.20218822,52.15151763,39.56068928,40.55530948,56.25660004,44.51045109,61.95697036,47.55183379,39.94311056,70.47188799,47.90584726,50.77332981,46.18668343,65.79675791,85.27729396,54.53434172,45.23635077,47.51974264,45.19622139,81.64187137,46.53606957,46.97181118,52.98604607,50.60214293,50.83967891,47.825206,59.50069376,48.94571927,51.92615154,40.92137109,52.95824122,44.50710344,41.45395865,43.53991197,52.17853468,47.00762247,44.64114405,43.29131599,44.03939115,67.16292007,78.97999332,116.9129121,100.8540371,110.8650358,78.27871142,105.006009,69.38543064,89.38197766,92.58292022,80.85832379,85.48045623,84.21466183,75.51639314,81.15086105,80.9496505,96.95138578,81.14422637,121.6261969,80.17701368,154.1262662,45.48807315,89.68046587,132.9592671,53.08932221,80.74628052,47.95689157,91.62176641,85.67860417,55.75943061,51.78462879,81.08251424,58.00487145,72.3738445,46.30204922,64.29044951,64.79417221,66.59696978,71.11664389,57.11042843,45.15428558
Isoleucine,16.34001716,17.81770447,15.69788201,13.76922747,16.07154069,15.16474426,15.08307522,14.68421202,13.7382709,15.90630533,15.02827121,14.85731089,17.2829015,14.01989678,15.32725763,15.35181493,15.25009406,22.87961875,16.1981964,16.60849117,16.59988597,12.45079892,14.88410317,15.43715481,14.10446863,14.29345911,12.87802362,15.87419439,14.1906911,17.34656627,16.25884744,12.57078838,11.2283674,12.9611788,16.20436927,13.31444349,14.03732756,15.54810931,15.9651837,12.00310626,13.13021795,17.84369869,21.81807907,22.85624193,26.62318838,29.85283047,24.80712326,24.40055588,24.76177854,23.15340777,23.17374203,24.22401968,23.90999061,23.90193397,25.09818474,25.39085985,22.38866369,20.62104802,23.15208193,21.81010207,32.58961961,19.87216615,32.84806605,11.10363773,15.5704842,17.38204472,13.94177708,16.97990551,16.56818613,20.02821291,19.16209562,15.66780095,16.18642093,16.29197698,16.65167387,15.2757224,15.36445725,17.75065546,18.78971316,16.91253838,18.84406636,18.18386082,18.02891413
